seed,comparison,metric,n,iterations,baseline_score,ours_score,observed_delta,bootstrap_mean_delta,ci_low,ci_high,p_value,significant_p05,delta_direction
42,Ours_vs_B2,BLEU,250,5000,17.1078,31.3333,14.2256,14.222,10.9881,17.6234,0.0002,True,ours_minus_baseline
42,Ours_vs_B2,chrF,250,5000,44.4764,52.6118,8.1354,8.1453,5.814,10.4897,0.0002,True,ours_minus_baseline
42,Ours_vs_B2,TER,250,5000,67.9688,55.1847,12.7841,12.7961,9.8412,15.9309,0.0002,True,baseline_minus_ours
42,Ours_vs_B2,TA,250,5000,30.5882,60.4412,29.8529,29.8682,25.4927,34.2593,0.0002,True,ours_minus_baseline
42,Ours_vs_B2,TCR,250,5000,42.8571,76.601,33.7438,30.6983,25.0909,36.2458,0.0002,True,ours_minus_baseline
42,Ours_vs_B3,BLEU,250,5000,18.3225,31.3333,13.0108,13.1124,10.7599,15.7096,0.0002,True,ours_minus_baseline
42,Ours_vs_B3,chrF,250,5000,43.32,52.6118,9.2918,9.2871,7.6105,11.0481,0.0002,True,ours_minus_baseline
42,Ours_vs_B3,TER,250,5000,75.8168,55.1847,20.6321,20.5976,15.1971,27.2598,0.0002,True,baseline_minus_ours
42,Ours_vs_B3,TA,250,5000,56.6176,60.4412,3.8235,3.81,1.6081,6.2885,0.0006,True,ours_minus_baseline
42,Ours_vs_B3,TCR,250,5000,71.9212,76.601,4.6798,4.0599,1.2431,7.2861,0.0012,True,ours_minus_baseline
13,Ours_vs_B2,BLEU,250,5000,17.9656,31.297,13.3313,13.3674,10.1431,16.6218,0.0002,True,ours_minus_baseline
13,Ours_vs_B2,chrF,250,5000,44.6488,52.4762,7.8275,7.8359,5.5986,10.0782,0.0002,True,ours_minus_baseline
13,Ours_vs_B2,TER,250,5000,68.5369,55.8239,12.7131,12.7426,9.6277,15.8047,0.0002,True,baseline_minus_ours
13,Ours_vs_B2,TA,250,5000,32.3529,60.8824,28.5294,28.574,24.3045,32.889,0.0002,True,ours_minus_baseline
13,Ours_vs_B2,TCR,250,5000,45.3202,77.0936,31.7734,29.2442,23.8011,34.7979,0.0002,True,ours_minus_baseline
13,Ours_vs_B3,BLEU,250,5000,18.3225,31.297,12.9745,13.086,10.6998,15.6563,0.0002,True,ours_minus_baseline
13,Ours_vs_B3,chrF,250,5000,43.32,52.4762,9.1562,9.148,7.4447,11.018,0.0002,True,ours_minus_baseline
13,Ours_vs_B3,TER,250,5000,75.8168,55.8239,19.9929,20.0084,14.4952,26.5113,0.0002,True,baseline_minus_ours
13,Ours_vs_B3,TA,250,5000,56.6176,60.8824,4.2647,4.2529,1.9345,6.7724,0.0002,True,ours_minus_baseline
13,Ours_vs_B3,TCR,250,5000,71.9212,77.0936,5.1724,4.4912,1.557,7.6786,0.0008,True,ours_minus_baseline
2026,Ours_vs_B2,BLEU,250,5000,17.246,31.2341,13.9881,13.9661,10.5744,17.5415,0.0002,True,ours_minus_baseline
2026,Ours_vs_B2,chrF,250,5000,44.6706,52.7424,8.0718,8.0569,5.7469,10.3818,0.0002,True,ours_minus_baseline
2026,Ours_vs_B2,TER,250,5000,68.4659,55.2557,13.2102,13.1889,10.0859,16.3479,0.0002,True,baseline_minus_ours
2026,Ours_vs_B2,TA,250,5000,32.3529,61.0294,28.6765,28.6863,24.3902,33.0371,0.0002,True,ours_minus_baseline
2026,Ours_vs_B2,TCR,250,5000,45.5665,77.8325,32.266,29.3919,23.7927,35.0263,0.0002,True,ours_minus_baseline
2026,Ours_vs_B3,BLEU,250,5000,18.3225,31.2341,12.9116,13.0168,10.5605,15.5683,0.0002,True,ours_minus_baseline
2026,Ours_vs_B3,chrF,250,5000,43.32,52.7424,9.4224,9.4154,7.7206,11.1852,0.0002,True,ours_minus_baseline
2026,Ours_vs_B3,TER,250,5000,75.8168,55.2557,20.5611,20.5228,15.0454,27.2045,0.0002,True,baseline_minus_ours
2026,Ours_vs_B3,TA,250,5000,56.6176,61.0294,4.4118,4.4019,2.1211,6.9802,0.0002,True,ours_minus_baseline
2026,Ours_vs_B3,TCR,250,5000,71.9212,77.8325,5.9113,4.7587,1.8483,8.0442,0.001,True,ours_minus_baseline
