seed,model_id,n,BLEU,chrF,TER,TA,TCR,normalization_used
42,B1_general_translation,250,4.8841,25.9489,95.8452,12.3529,16.5025,False
42,B2_domain_adapted,250,17.1078,44.4764,67.9688,30.5882,42.8571,False
42,B3_entity_aware,250,18.3225,43.32,75.8168,56.6176,71.9212,False
42,Ours_entity_aware_domain_adapted,250,31.3333,52.6118,55.1847,60.4412,76.601,False
13,B1_general_translation,250,4.8841,25.9489,95.8452,12.3529,16.5025,False
13,B2_domain_adapted,250,17.9656,44.6488,68.5369,32.3529,45.3202,False
13,B3_entity_aware,250,18.3225,43.32,75.8168,56.6176,71.9212,False
13,Ours_entity_aware_domain_adapted,250,31.297,52.4762,55.8239,60.8824,77.0936,False
2026,B1_general_translation,250,4.8841,25.9489,95.8452,12.3529,16.5025,False
2026,B2_domain_adapted,250,17.246,44.6706,68.4659,32.3529,45.5665,False
2026,B3_entity_aware,250,18.3225,43.32,75.8168,56.6176,71.9212,False
2026,Ours_entity_aware_domain_adapted,250,31.2341,52.7424,55.2557,61.0294,77.8325,False
