model_id,entity_type,term_occurrences,hits,TA
B1_general_translation,CONCEPT,77,10,12.987
B1_general_translation,DIAGNOSIS,263,34,12.9278
B1_general_translation,DISEASE,7,3,42.8571
B1_general_translation,ELEMENT,20,11,55.0
B1_general_translation,FLUID,2,0,0.0
B1_general_translation,FUNCTION,3,0,0.0
B1_general_translation,LOCATION,3,1,33.3333
B1_general_translation,MERIDIAN,7,0,0.0
B1_general_translation,ORGAN,33,16,48.4848
B1_general_translation,ORGAN_GROUP,4,0,0.0
B1_general_translation,ORGAN_SYSTEM,4,0,0.0
B1_general_translation,PATHOGEN,68,16,23.5294
B1_general_translation,PATHOGENESIS,22,2,9.0909
B1_general_translation,PATHOLOGY,4,1,25.0
B1_general_translation,PHYSIOLOGY,3,0,0.0
B1_general_translation,SUBSTANCE,62,1,1.6129
B1_general_translation,SYMPTOM,43,13,30.2326
B1_general_translation,SYNDROME,22,0,0.0
B1_general_translation,THEORY,1,0,0.0
B1_general_translation,THERAPY,28,0,0.0
B1_general_translation,TISSUE,4,0,0.0
B2_domain_adapted,CONCEPT,77,34,44.1558
B2_domain_adapted,DIAGNOSIS,263,59,22.4335
B2_domain_adapted,DISEASE,7,3,42.8571
B2_domain_adapted,ELEMENT,20,17,85.0
B2_domain_adapted,FLUID,2,0,0.0
B2_domain_adapted,FUNCTION,3,0,0.0
B2_domain_adapted,LOCATION,3,1,33.3333
B2_domain_adapted,MERIDIAN,7,0,0.0
B2_domain_adapted,ORGAN,33,26,78.7879
B2_domain_adapted,ORGAN_GROUP,4,0,0.0
B2_domain_adapted,ORGAN_SYSTEM,4,0,0.0
B2_domain_adapted,PATHOGEN,68,38,55.8824
B2_domain_adapted,PATHOGENESIS,22,4,18.1818
B2_domain_adapted,PATHOLOGY,4,0,0.0
B2_domain_adapted,PHYSIOLOGY,3,0,0.0
B2_domain_adapted,SUBSTANCE,62,8,12.9032
B2_domain_adapted,SYMPTOM,43,12,27.907
B2_domain_adapted,SYNDROME,22,1,4.5455
B2_domain_adapted,THEORY,1,0,0.0
B2_domain_adapted,THERAPY,28,0,0.0
B2_domain_adapted,TISSUE,4,1,25.0
B3_entity_aware,CONCEPT,77,45,58.4416
B3_entity_aware,DIAGNOSIS,263,105,39.924
B3_entity_aware,DISEASE,7,3,42.8571
B3_entity_aware,ELEMENT,20,16,80.0
B3_entity_aware,FLUID,2,2,100.0
B3_entity_aware,FUNCTION,3,0,0.0
B3_entity_aware,LOCATION,3,2,66.6667
B3_entity_aware,MERIDIAN,7,3,42.8571
B3_entity_aware,ORGAN,33,26,78.7879
B3_entity_aware,ORGAN_GROUP,4,4,100.0
B3_entity_aware,ORGAN_SYSTEM,4,0,0.0
B3_entity_aware,PATHOGEN,68,29,42.6471
B3_entity_aware,PATHOGENESIS,22,9,40.9091
B3_entity_aware,PATHOLOGY,4,2,50.0
B3_entity_aware,PHYSIOLOGY,3,3,100.0
B3_entity_aware,SUBSTANCE,62,22,35.4839
B3_entity_aware,SYMPTOM,43,16,37.2093
B3_entity_aware,SYNDROME,22,9,40.9091
B3_entity_aware,THEORY,1,1,100.0
B3_entity_aware,THERAPY,28,3,10.7143
B3_entity_aware,TISSUE,4,1,25.0
Ours_entity_aware_domain_adapted,CONCEPT,77,44,57.1429
Ours_entity_aware_domain_adapted,DIAGNOSIS,263,105,39.924
Ours_entity_aware_domain_adapted,DISEASE,7,3,42.8571
Ours_entity_aware_domain_adapted,ELEMENT,20,17,85.0
Ours_entity_aware_domain_adapted,FLUID,2,2,100.0
Ours_entity_aware_domain_adapted,FUNCTION,3,1,33.3333
Ours_entity_aware_domain_adapted,LOCATION,3,1,33.3333
Ours_entity_aware_domain_adapted,MERIDIAN,7,3,42.8571
Ours_entity_aware_domain_adapted,ORGAN,33,26,78.7879
Ours_entity_aware_domain_adapted,ORGAN_GROUP,4,4,100.0
Ours_entity_aware_domain_adapted,ORGAN_SYSTEM,4,3,75.0
Ours_entity_aware_domain_adapted,PATHOGEN,68,38,55.8824
Ours_entity_aware_domain_adapted,PATHOGENESIS,22,9,40.9091
Ours_entity_aware_domain_adapted,PATHOLOGY,4,3,75.0
Ours_entity_aware_domain_adapted,PHYSIOLOGY,3,3,100.0
Ours_entity_aware_domain_adapted,SUBSTANCE,62,29,46.7742
Ours_entity_aware_domain_adapted,SYMPTOM,43,20,46.5116
Ours_entity_aware_domain_adapted,SYNDROME,22,10,45.4545
Ours_entity_aware_domain_adapted,THEORY,1,1,100.0
Ours_entity_aware_domain_adapted,THERAPY,28,5,17.8571
Ours_entity_aware_domain_adapted,TISSUE,4,1,25.0
