model_id,entity_type,term_occurrences,hits,TA
B1_general_translation,CONCEPT,21,0,0.0
B1_general_translation,DIAGNOSIS,91,32,35.1648
B1_general_translation,DISEASE,14,13,92.8571
B1_general_translation,ELEMENT,35,25,71.4286
B1_general_translation,ETIOLOGY,14,3,21.4286
B1_general_translation,FLUID,23,19,82.6087
B1_general_translation,FUNCTION,48,0,0.0
B1_general_translation,LOCATION,19,6,31.5789
B1_general_translation,MERIDIAN,19,0,0.0
B1_general_translation,ORGAN,209,116,55.5024
B1_general_translation,ORGAN_GROUP,4,0,0.0
B1_general_translation,ORGAN_SYSTEM,27,0,0.0
B1_general_translation,ORIFICE,4,2,50.0
B1_general_translation,PATHOGEN,97,32,32.9897
B1_general_translation,PATHOGENESIS,4,0,0.0
B1_general_translation,PATHOLOGY,86,12,13.9535
B1_general_translation,PHYSIOLOGY,26,10,38.4615
B1_general_translation,SUBSTANCE,221,47,21.267
B1_general_translation,SYMPTOM,63,20,31.746
B1_general_translation,SYNDROME,75,0,0.0
B1_general_translation,THERAPY,18,8,44.4444
B1_general_translation,TISSUE,21,9,42.8571
B2_domain_adapted,CONCEPT,21,0,0.0
B2_domain_adapted,DIAGNOSIS,91,46,50.5495
B2_domain_adapted,DISEASE,14,13,92.8571
B2_domain_adapted,ELEMENT,35,19,54.2857
B2_domain_adapted,ETIOLOGY,14,2,14.2857
B2_domain_adapted,FLUID,23,17,73.913
B2_domain_adapted,FUNCTION,48,0,0.0
B2_domain_adapted,LOCATION,19,8,42.1053
B2_domain_adapted,MERIDIAN,19,0,0.0
B2_domain_adapted,ORGAN,209,149,71.2919
B2_domain_adapted,ORGAN_GROUP,4,0,0.0
B2_domain_adapted,ORGAN_SYSTEM,27,0,0.0
B2_domain_adapted,ORIFICE,4,2,50.0
B2_domain_adapted,PATHOGEN,97,32,32.9897
B2_domain_adapted,PATHOGENESIS,4,0,0.0
B2_domain_adapted,PATHOLOGY,86,15,17.4419
B2_domain_adapted,PHYSIOLOGY,26,8,30.7692
B2_domain_adapted,SUBSTANCE,221,113,51.1312
B2_domain_adapted,SYMPTOM,63,19,30.1587
B2_domain_adapted,SYNDROME,75,0,0.0
B2_domain_adapted,THERAPY,18,8,44.4444
B2_domain_adapted,TISSUE,21,11,52.381
B3_entity_aware,CONCEPT,21,16,76.1905
B3_entity_aware,DIAGNOSIS,91,66,72.5275
B3_entity_aware,DISEASE,14,3,21.4286
B3_entity_aware,ELEMENT,35,29,82.8571
B3_entity_aware,ETIOLOGY,14,8,57.1429
B3_entity_aware,FLUID,23,19,82.6087
B3_entity_aware,FUNCTION,48,10,20.8333
B3_entity_aware,LOCATION,19,14,73.6842
B3_entity_aware,MERIDIAN,19,15,78.9474
B3_entity_aware,ORGAN,209,162,77.512
B3_entity_aware,ORGAN_GROUP,4,4,100.0
B3_entity_aware,ORGAN_SYSTEM,27,7,25.9259
B3_entity_aware,ORIFICE,4,4,100.0
B3_entity_aware,PATHOGEN,97,77,79.3814
B3_entity_aware,PATHOGENESIS,4,4,100.0
B3_entity_aware,PATHOLOGY,86,30,34.8837
B3_entity_aware,PHYSIOLOGY,26,17,65.3846
B3_entity_aware,SUBSTANCE,221,152,68.7783
B3_entity_aware,SYMPTOM,63,32,50.7937
B3_entity_aware,SYNDROME,75,51,68.0
B3_entity_aware,THERAPY,18,7,38.8889
B3_entity_aware,TISSUE,21,15,71.4286
Ours_entity_aware_domain_adapted,CONCEPT,21,21,100.0
Ours_entity_aware_domain_adapted,DIAGNOSIS,91,91,100.0
Ours_entity_aware_domain_adapted,DISEASE,14,14,100.0
Ours_entity_aware_domain_adapted,ELEMENT,35,35,100.0
Ours_entity_aware_domain_adapted,ETIOLOGY,14,14,100.0
Ours_entity_aware_domain_adapted,FLUID,23,23,100.0
Ours_entity_aware_domain_adapted,FUNCTION,48,48,100.0
Ours_entity_aware_domain_adapted,LOCATION,19,19,100.0
Ours_entity_aware_domain_adapted,MERIDIAN,19,19,100.0
Ours_entity_aware_domain_adapted,ORGAN,209,207,99.0431
Ours_entity_aware_domain_adapted,ORGAN_GROUP,4,4,100.0
Ours_entity_aware_domain_adapted,ORGAN_SYSTEM,27,27,100.0
Ours_entity_aware_domain_adapted,ORIFICE,4,4,100.0
Ours_entity_aware_domain_adapted,PATHOGEN,97,96,98.9691
Ours_entity_aware_domain_adapted,PATHOGENESIS,4,4,100.0
Ours_entity_aware_domain_adapted,PATHOLOGY,86,86,100.0
Ours_entity_aware_domain_adapted,PHYSIOLOGY,26,25,96.1538
Ours_entity_aware_domain_adapted,SUBSTANCE,221,221,100.0
Ours_entity_aware_domain_adapted,SYMPTOM,63,63,100.0
Ours_entity_aware_domain_adapted,SYNDROME,75,72,96.0
Ours_entity_aware_domain_adapted,THERAPY,18,18,100.0
Ours_entity_aware_domain_adapted,TISSUE,21,20,95.2381
